sqft,sale_price ,sale_price_pred ,,,Error: A-B,,Absolute Value of Error: ABS(B-C),,Square of Error: F^2,,Absolute Values of Errors Divided by Actual Values: ABS((B-C)/B6,,,
2078,207000,190279.1208,,,-204922,,16720.8792,,41993026084,,0.080777194,,,
2466,192000,219386.4077,,,-189534,,27386.4077,,35923137156,,0.14263754,,,
3035,228950,262072.0939,,,-225915,,33122.0939,,51037587225,,0.144669552,,,
3171,377426,272274.6481,,,-374255,,105151.3519,,1.40067E+11,,0.278601241,,,
2346,214000,210384.154,,,-211654,,3615.846,,44797415716,,0.016896477,,,
1834,202500,171974.5383,,,-200666,,30525.4617,,40266843556,,0.150743021,,,
1800,155000,169423.8998,,,-153200,,14423.8998,,23470240000,,0.093057418,,,
1908,202900,177525.9281,,,-200992,,25374.0719,,40397784064,,0.125057033,,,
841,82000,97480.88911,,,-81159,,15480.88911,,6586783281,,0.188791331,,,
1040,87500,112409.6265,,,-86460,,24909.6265,,7475331600,,0.284681446,,,
1712,266000,162822.2471,,,-264288,,103177.7529,,69848146944,,0.387886289,,,
1241,85000,127488.4014,,,-83759,,42488.4014,,7015570081,,0.499863546,,,
1577,140200,152694.7117,,,-138623,,12494.7117,,19216336129,,0.089120626,,,
1456,151500,143617.4392,,,-150044,,7882.5608,,22513201936,,0.052030104,,,
2748,157500,240541.7039,,,-154752,,83041.7039,,23948181504,,0.527248914,,,
2199,154000,199356.3933,,,-151801,,45356.3933,,23043543601,,0.294522034,,,
4138,437154,344817.809,,,-433016,,92336.191,,1.87503E+11,,0.211221197,,,
1869,318061,174600.1956,,,-316192,,143460.8044,,99977380864,,0.451048083,,,
2535,190000,224562.7036,,,-187465,,34562.7036,,35143126225,,0.181908966,,,
1347,95000,135440.3921,,,-93653,,40440.3921,,8770884409,,0.425688338,,,
720,105900,88403.61665,,,-105180,,17496.38335,,11062832400,,0.165216085,,,
1983,140000,183152.3366,,,-138017,,43152.3366,,19048692289,,0.308230976,,,
1534,177500,149468.9041,,,-175966,,28031.0959,,30964033156,,0.157921667,,,
1727,173000,163947.5288,,,-171273,,9052.4712,,29334440529,,0.052326423,,,
2016,134000,185627.9564,,,-131984,,51627.9564,,17419776256,,0.385283257,,,
1652,130000,158321.1202,,,-128348,,28321.1202,,16473209104,,0.217854771,,,
2880,280000,250444.1829,,,-277120,,29555.8171,,76795494400,,0.10555649,,,
1685,156000,160796.74,,,-154315,,4796.74,,23813119225,,0.030748333,,,
1904,145000,177225.853,,,-143096,,32225.853,,20476465216,,0.222247262,,,
1922,198500,178576.191,,,-196578,,19923.809,,38642910084,,0.100371834,,,
1149,118000,120586.6736,,,-116851,,2586.6736,,13654156201,,0.021920963,,,
2286,190000,205883.0272,,,-187714,,15883.0272,,35236545796,,0.08359488,,,
1800,147000,169423.8998,,,-145200,,22423.8998,,21083040000,,0.152543536,,,
2003,159000,184652.7123,,,-156997,,25652.7123,,24648058009,,0.161337813,,,
1802,165000,169573.9373,,,-163198,,4573.9373,,26633587204,,0.027720832,,,
1808,132000,170024.05,,,-130192,,38024.05,,16949956864,,0.288060985,,,
1359,162000,136340.6175,,,-160641,,25659.3825,,25805530881,,0.15839125,,,
1664,172400,159221.3456,,,-170736,,13178.6544,,29150781696,,0.076442311,,,
1588,134432,153519.9183,,,-132844,,19087.9183,,17647528336,,0.141989395,,,
1375,125000,137540.918,,,-123625,,12540.918,,15283140625,,0.100327344,,,
1747,123000,165447.9044,,,-121253,,42447.9044,,14702290009,,0.345104914,,,
1928,219500,179026.3037,,,-217572,,40473.6963,,47337575184,,0.184390416,,,
1254,61000,128463.6455,,,-59746,,67463.6455,,3569584516,,1.105961402,,,
1212,148000,125312.8567,,,-146788,,22687.1433,,21546716944,,0.153291509,,,
2466,340000,219386.4077,,,-337534,,120613.5923,,1.13929E+11,,0.35474586,,,
3301,394432,282027.0896,,,-391131,,112404.9104,,1.52983E+11,,0.284979186,,,
1800,179000,169423.8998,,,-177200,,9576.1002,,31399840000,,0.053497766,,,
1909,127000,177600.9469,,,-125091,,50600.9469,,15647758281,,0.398432653,,,
1301,187750,131989.5282,,,-186449,,55760.4718,,34763229601,,0.296993192,,,
1797,213500,169198.8434,,,-211703,,44301.1566,,44818160209,,0.207499563,,,
784,76000,93204.81861,,,-75216,,17204.81861,,5657446656,,0.226379192,,,
2938,240000,254795.2722,,,-237062,,14795.2722,,56198391844,,0.061646968,,,
1293,192000,131389.378,,,-190707,,60610.622,,36369159849,,0.315680323,,,
1184,81000,123212.3309,,,-79816,,42212.3309,,6370593856,,0.521139888,,,
1756,125000,166123.0734,,,-123244,,41123.0734,,15189083536,,0.328984587,,,
1479,191000,145342.8712,,,-189521,,45657.1288,,35918209441,,0.239042559,,,
3612,426000,305357.9304,,,-422388,,120642.0696,,1.78412E+11,,0.283197346,,,
1608,119000,155020.2939,,,-117392,,36020.2939,,13780881664,,0.302691545,,,
2651,215000,233264.8821,,,-212349,,18264.8821,,45092097801,,0.08495294,,,
882,106500,100556.6591,,,-105618,,5943.3409,,11155161924,,0.055806018,,,
1054,100000,113459.8894,,,-98946,,13459.8894,,9790310916,,0.134598894,,,
1034,109000,111959.5138,,,-107966,,2959.5138,,11656657156,,0.027151503,,,
1883,129000,175650.4586,,,-127117,,46650.4586,,16158731689,,0.361631462,,,
1671,123000,159746.4771,,,-121329,,36746.4771,,14720726241,,0.298751846,,,
2352,169500,210834.2667,,,-167148,,41334.2667,,27938453904,,0.243859981,,,
1077,67000,115185.3213,,,-65923,,48185.3213,,4345841929,,0.7191839,,,
2362,241000,211584.4545,,,-238638,,29415.5455,,56948095044,,0.122056205,,,
2074,245500,189979.0457,,,-243426,,55520.9543,,59256217476,,0.2261546,,,
1334,164990,134465.148,,,-163656,,30524.852,,26783286336,,0.185010316,,,
672,108000,84802.71517,,,-107328,,23197.28483,,11519299584,,0.214789674,,,
2263,258000,204157.5952,,,-255737,,53842.4048,,65401413169,,0.208691491,,,
1572,168000,152319.6178,,,-166428,,15680.3822,,27698279184,,0.093335608,,,
2736,150000,239641.4785,,,-147264,,89641.4785,,21686685696,,0.597609857,,,
1166,115000,121861.9928,,,-113834,,6861.9928,,12958179556,,0.059669503,,,
1680,177000,160421.6461,,,-175320,,16578.3539,,30737102400,,0.093663016,,,
2172,280000,197330.8862,,,-277828,,82669.1138,,77188397584,,0.295246835,,,
2867,339750,249468.9388,,,-336883,,90281.0612,,1.1349E+11,,0.265727921,,,
1276,60000,130114.0587,,,-58724,,70114.0587,,3448508176,,1.168567645,,,
2112,145000,192829.7593,,,-142888,,47829.7593,,20416980544,,0.329860409,,,
2056,222000,188628.7076,,,-219944,,33371.2924,,48375363136,,0.150321137,,,
1028,115000,111509.4011,,,-113972,,3490.5989,,12989616784,,0.030353034,,,
2147,228000,195455.4167,,,-225853,,32544.5833,,51009577609,,0.1427394,,,
1364,181134,136715.7114,,,-179770,,44418.2886,,32317252900,,0.245223363,,,
1609,149500,155095.3127,,,-147891,,5595.3127,,21871747881,,0.037426841,,,
3752,239000,315860.5597,,,-235248,,76860.5597,,55341621504,,0.3215923,,,
1446,126000,142867.2514,,,-124554,,16867.2514,,15513698916,,0.133867075,,,
1831,142000,171749.482,,,-140169,,29749.482,,19647348561,,0.209503394,,,
2653,206300,233414.9197,,,-203647,,27114.9197,,41472100609,,0.131434414,,,
2848,215000,248043.5819,,,-212152,,33043.5819,,45008471104,,0.153691079,,,
988,113000,108508.6499,,,-112012,,4491.3501,,12546688144,,0.039746461,,,
3616,315000,305658.0055,,,-311384,,9341.9945,,96959995456,,0.029657125,,,
1812,139000,170324.1251,,,-137188,,31324.1251,,18820547344,,0.225353418,,,
1389,135000,138591.1809,,,-133611,,3591.1809,,17851899321,,0.02660134,,,
3162,275000,271599.4791,,,-271838,,3400.5209,,73895898244,,0.012365531,,,
1195,109008,124037.5375,,,-107813,,15029.5375,,11623642969,,0.137875546,,,
1872,195400,174825.252,,,-193528,,20574.748,,37453086784,,0.105295537,,,
2417,175000,215710.4875,,,-172583,,40710.4875,,29784891889,,0.232631357,,,
1374,85400,137465.8992,,,-84026,,52065.8992,,7060368676,,0.609670951,,,
1198,79900,124262.5938,,,-78702,,44362.5938,,6194004804,,0.555226456,,,
1836,122500,172124.5759,,,-120664,,49624.5759,,14559800896,,0.405098579,,,
1604,181000,154720.2188,,,-179396,,26279.7812,,32182924816,,0.145192161,,,
1125,81000,118786.2228,,,-79875,,37786.2228,,6380015625,,0.466496578,,,
2046,212000,187878.5198,,,-209954,,24121.4802,,44080682116,,0.113780567,,,
1118,116000,118261.0914,,,-114882,,2261.0914,,13197873924,,0.019492167,,,
904,119000,102207.0723,,,-118096,,16792.9277,,13946665216,,0.141117039,,,
1059,90350,113834.9833,,,-89291,,23484.9833,,7972882681,,0.259933407,,,
1196,110000,124112.5562,,,-108804,,14112.5562,,11838310416,,0.128295965,,,
4169,555000,347143.3912,,,-550831,,207856.6088,,3.03415E+11,,0.374516412,,,
1573,118000,152394.6366,,,-116427,,34394.6366,,13555246329,,0.291479971,,,
1573,162900,152394.6366,,,-161327,,10505.3634,,26026400929,,0.064489646,,,
1258,172500,128763.7207,,,-171242,,43736.2793,,29323822564,,0.253543648,,,
2550,210000,225687.9853,,,-207450,,15687.9853,,43035502500,,0.074704692,,,
1689,127500,161096.8151,,,-125811,,33596.8151,,15828407721,,0.263504432,,,
2135,190000,194555.1913,,,-187865,,4555.1913,,35293258225,,0.023974691,,,
1886,199900,175875.5149,,,-198014,,24024.4851,,39209544196,,0.120182517,,,
1376,119500,137615.9368,,,-118124,,18115.9368,,13953279376,,0.151597797,,,
1514,120000,147968.5285,,,-118486,,27968.5285,,14038932196,,0.233071071,,,
813,110000,95380.36325,,,-109187,,14619.63675,,11921800969,,0.132905789,,,
2188,280000,198531.1867,,,-277812,,81468.8133,,77179507344,,0.290960048,,,
2498,204000,221787.0087,,,-201502,,17787.0087,,40603056004,,0.087191219,,,
1590,210000,153669.9558,,,-208410,,56330.0442,,43434728100,,0.268238306,,,
3334,188000,284502.7093,,,-184666,,96502.7093,,34101531556,,0.513312284,,,
2158,175500,196280.6233,,,-173342,,20780.6233,,30047448964,,0.11840811,,,
1344,98000,135215.3358,,,-96656,,37215.3358,,9342382336,,0.379748324,,,
2779,256000,242867.2861,,,-253221,,13132.7139,,64120874841,,0.051299664,,,
1666,161000,159371.3832,,,-159334,,1628.6168,,25387323556,,0.010115632,,,
1388,110000,138516.1621,,,-108612,,28516.1621,,11796566544,,0.259237837,,,
2479,263435,220361.6519,,,-260956,,43073.3481,,68098033936,,0.16350655,,,
1485,155000,145792.9839,,,-153515,,9207.0161,,23566855225,,0.059400104,,,
1417,62383,140691.7068,,,-60966,,78308.7068,,3716853156,,1.25528921,,,
1986,188700,183377.393,,,-186714,,5322.607,,34862117796,,0.028206714,,,
1656,124000,158621.1954,,,-122344,,34621.1954,,14968054336,,0.279203189,,,
1414,178740,140466.6504,,,-177326,,38273.3496,,31444510276,,0.21412862,,,
2055,167000,188553.6888,,,-164945,,21553.6888,,27206853025,,0.129064005,,,
2030,146500,186678.2193,,,-144470,,40178.2193,,20871580900,,0.274254057,,,
1634,250000,156970.7822,,,-248366,,93029.2178,,61685669956,,0.372116871,,,
2136,187000,194630.2101,,,-184864,,7630.2101,,34174698496,,0.040803263,,,
1870,212000,174675.2144,,,-210130,,37324.7856,,44154616900,,0.176060309,,,
1969,190000,182102.0737,,,-188031,,7897.9263,,35355656961,,0.041568033,,,
1531,148000,149243.8478,,,-146469,,1243.8478,,21453167961,,0.008404377,,,
3326,440000,283902.5591,,,-436674,,156097.4409,,1.90684E+11,,0.354766911,,,
2848,251000,248043.5819,,,-248152,,2956.4181,,61579415104,,0.011778558,,,
1600,132500,154420.1436,,,-130900,,21920.1436,,17134810000,,0.165435046,,,
2487,208900,220961.8021,,,-206413,,12061.8021,,42606326569,,0.057739598,,,
2643,380000,232664.7319,,,-377357,,147335.2681,,1.42398E+11,,0.38772439,,,
3006,297000,259896.5493,,,-293994,,37103.4507,,86432472036,,0.124927443,,,
1299,89471,131839.4907,,,-88172,,42368.4907,,7774301584,,0.473544397,,,
3111,326000,267773.5212,,,-322889,,58226.4788,,1.04257E+11,,0.178608831,,,
3359,374000,286378.1788,,,-370641,,87621.8212,,1.37375E+11,,0.234282944,,,
2125,155000,193805.0035,,,-152875,,38805.0035,,23370765625,,0.250354861,,,
2113,164000,192904.7781,,,-161887,,28904.7781,,26207400769,,0.176248647,,,
1587,132500,153444.8995,,,-130913,,20944.8995,,17138213569,,0.158074713,,,
1720,147000,163422.3973,,,-145280,,16422.3973,,21106278400,,0.111716988,,,
1909,156000,177600.9469,,,-154091,,21600.9469,,23744036281,,0.138467608,,,
2482,175000,220586.7082,,,-172518,,45586.7082,,29762460324,,0.260495475,,,
3078,160000,265297.9015,,,-156922,,105297.9015,,24624514084,,0.658111884,,,
1145,86000,120286.5984,,,-84855,,34286.5984,,7200371025,,0.398681377,,,
1304,115000,132214.5846,,,-113696,,17214.5846,,12926780416,,0.14969204,,,
1981,133000,183002.2991,,,-131019,,50002.2991,,17165978361,,0.375957136,,,
1456,172785,143617.4392,,,-171329,,29167.5608,,29353626241,,0.168808408,,,
1643,155000,157645.9512,,,-153357,,2645.9512,,23518369449,,0.017070653,,,
886,91300,100856.7342,,,-90414,,9556.7342,,8174691396,,0.104673978,,,
1215,34900,125537.9131,,,-33685,,90637.9131,,1134679225,,2.597074874,,,
4459,430000,368898.8376,,,-425541,,61101.1624,,1.81085E+11,,0.142095727,,,
2149,184000,195605.4542,,,-181851,,11605.4542,,33069786201,,0.063073121,,,
1349,130000,135590.4297,,,-128651,,5590.4297,,16551079801,,0.043003305,,,
1023,120000,111134.3072,,,-118977,,8865.6928,,14155526529,,0.073880773,,,
1574,113000,152469.6553,,,-111426,,39469.6553,,12415753476,,0.349288985,,,
2168,226700,197030.8111,,,-224532,,29669.1889,,50414619024,,0.130874234,,,
1912,140000,177826.0032,,,-138088,,37826.0032,,19068295744,,0.270185737,,,
3048,289000,263047.3381,,,-285952,,25952.6619,,81768546304,,0.089801598,,,
1579,147000,152844.7492,,,-145421,,5844.7492,,21147267241,,0.039760199,,,
1960,124500,181426.9047,,,-122540,,56926.9047,,15016051600,,0.457244214,,,
2291,215000,206258.1211,,,-212709,,8741.8789,,45245118681,,0.040659902,,,
1245,208300,127788.4765,,,-207055,,80511.5235,,42871773025,,0.386517156,,,
1519,161000,148343.6224,,,-159481,,12656.3776,,25434189361,,0.078611041,,,
2032,124500,186828.2569,,,-122468,,62328.2569,,14998411024,,0.500628569,,,
2013,164900,185402.9001,,,-162887,,20502.9001,,26532174769,,0.124335355,,,
1368,202665,137015.7865,,,-201297,,65649.2135,,40520482209,,0.323929704,,,
1385,129900,138291.1058,,,-128515,,8391.1058,,16516105225,,0.064596657,,,
1416,134000,140616.688,,,-132584,,6616.688,,17578517056,,0.049378269,,,
789,96500,93579.91251,,,-95711,,2920.08749,,9160595521,,0.030259974,,,
3456,402861,293655.0006,,,-399405,,109205.9994,,1.59524E+11,,0.271076127,,,
2119,158000,193354.8908,,,-155881,,35354.8908,,24298886161,,0.223765132,,,
2344,265000,210234.1165,,,-262656,,54765.8835,,68988174336,,0.206663711,,,
2502,211000,222087.0838,,,-208498,,11087.0838,,43471416004,,0.052545421,,,
2080,234000,190429.1584,,,-231920,,43570.8416,,53786886400,,0.186200178,,,
1294,106250,131464.3968,,,-104956,,25214.3968,,11015761936,,0.23731197,,,
2021,150000,186003.0503,,,-147979,,36003.0503,,21897784441,,0.240020335,,,
2063,159000,189153.8391,,,-156937,,30153.8391,,24629221969,,0.189646787,,,
6936,184750,554720.3573,,,-177814,,369970.3573,,31617818596,,2.002545912,,,
3117,315750,268223.6339,,,-312633,,47526.3661,,97739392689,,0.150518974,,,
1266,176000,129363.8709,,,-174734,,46636.1291,,30531970756,,0.264978006,,,
1305,132000,132289.6033,,,-130695,,289.6033,,17081183025,,0.002193964,,,
4043,446261,337691.0248,,,-442218,,108569.9752,,1.95557E+11,,0.243288065,,,
953,86000,105882.9925,,,-85047,,19882.9925,,7232992209,,0.231197587,,,
3734,200624,314510.2216,,,-196890,,113886.2216,,38765672100,,0.567660009,,,
2292,175000,206333.1399,,,-172708,,31333.1399,,29828053264,,0.179046514,,,
1362,128000,136565.6738,,,-126638,,8565.6738,,16037183044,,0.066919327,,,
827,107500,96430.62618,,,-106673,,11069.37382,,11379128929,,0.102970919,,,
334,39300,59446.36731,,,-38966,,20146.36731,,1518349156,,0.512630211,,,
1414,178000,140466.6504,,,-176586,,37533.3496,,31182615396,,0.210861515,,,
2316,107500,208133.5906,,,-105184,,100633.5906,,11063673856,,0.936126424,,,
1724,188000,163722.4724,,,-186276,,24277.5276,,34698748176,,0.129135785,,,
1464,111250,144217.5895,,,-109786,,32967.5895,,12052965796,,0.296337883,,,
1832,158000,171824.5008,,,-156168,,13824.5008,,24388444224,,0.087496841,,,
2959,272000,256370.6666,,,-269041,,15629.3334,,72383059681,,0.057460785,,,
3098,315000,266798.2771,,,-311902,,48201.7229,,97282857604,,0.153021343,,,
2285,248000,205808.0084,,,-245715,,42191.9916,,60375861225,,0.170128998,,,
1824,213250,171224.3505,,,-211426,,42025.6495,,44700953476,,0.197072213,,,
1351,133000,135740.4673,,,-131649,,2740.4673,,17331459201,,0.020605017,,,
2050,179665,188178.5949,,,-177615,,8513.5949,,31547088225,,0.04738594,,,
3185,229000,273324.911,,,-225815,,44324.911,,50992414225,,0.193558563,,,
1935,210000,179551.4352,,,-208065,,30448.5648,,43291044225,,0.144993166,,,
1387,129500,138441.1434,,,-128113,,8941.1434,,16412940769,,0.069043578,,,
1005,125000,109783.9691,,,-123995,,15216.0309,,15374760025,,0.121728247,,,
2094,263000,191479.4213,,,-260906,,71520.5787,,68071940836,,0.271941364,,,
1628,140000,156520.6695,,,-138372,,16520.6695,,19146810384,,0.118004782,,,
1236,112500,127113.3075,,,-111264,,14613.3075,,12379677696,,0.129896067,,,
1717,255500,163197.341,,,-253783,,92302.659,,64405811089,,0.361262853,,,
1126,108000,118861.2416,,,-106874,,10861.2416,,11422051876,,0.100567052,,,
2912,284000,252844.7839,,,-281088,,31155.2161,,79010463744,,0.109701465,,,
1048,113000,113009.7767,,,-111952,,9.7767,,12533250304,,8.65195E-05,,,
1987,141000,183452.4118,,,-139013,,42452.4118,,19324614169,,0.301080935,,,
1973,108000,182402.1488,,,-106027,,74402.1488,,11241724729,,0.688908785,,,
2050,175000,188178.5949,,,-172950,,13178.5949,,29911702500,,0.075306257,,,
1557,234000,151194.3361,,,-232443,,82805.6639,,54029748249,,0.353870359,,,
2694,121500,236490.6897,,,-118806,,114990.6897,,14114865636,,0.94642543,,,
2460,170000,218936.295,,,-167540,,48936.295,,28069651600,,0.287860559,,,
1286,108000,130864.2465,,,-106714,,22864.2465,,11387877796,,0.211705986,,,
1674,185000,159971.5334,,,-183326,,25028.4666,,33608422276,,0.135289009,,,
3023,268000,261171.8685,,,-264977,,6828.1315,,70212810529,,0.025478103,,,
1647,128000,157946.0263,,,-126353,,29946.0263,,15965080609,,0.23395333,,,
2504,325000,222237.1214,,,-322496,,102762.8786,,1.04004E+11,,0.316193473,,,
1537,214000,149693.9605,,,-212463,,64306.0395,,45140526369,,0.300495512,,,
3573,316600,302432.1979,,,-313027,,14167.8021,,97985902729,,0.044749849,,,
1886,135960,175875.5149,,,-134074,,39915.5149,,17975837476,,0.293582781,,,
1959,142600,181351.8859,,,-140641,,38751.8859,,19779890881,,0.271752356,,,
1278,120000,130264.0963,,,-118722,,10264.0963,,14094913284,,0.085534136,,,
1692,224500,161321.8715,,,-222808,,63178.1285,,49643404864,,0.281417053,,,
1430,170000,141666.9509,,,-168570,,28333.0491,,28415844900,,0.166664995,,,
1458,139000,143767.4768,,,-137542,,4767.4768,,18917801764,,0.034298394,,,
1658,118500,158771.2329,,,-116842,,40271.2329,,13652052964,,0.339841628,,,
1477,145000,145192.8336,,,-143523,,192.8336,,20598851529,,0.001329887,,,
1648,164500,158021.0451,,,-162852,,6478.9549,,26520773904,,0.039385744,,,
1392,146000,138816.2373,,,-144608,,7183.7627,,20911473664,,0.049203854,,,
1795,131500,169048.8059,,,-129705,,37548.8059,,16823387025,,0.28554225,,,
2023,181900,186153.0879,,,-179877,,4253.0879,,32355735129,,0.023381462,,,
2042,253293,187578.4447,,,-251251,,65714.5553,,63127065001,,0.259440866,,,
1632,118500,156820.7446,,,-116868,,38320.7446,,13658129424,,0.323381811,,,
2775,325000,242567.2109,,,-322225,,82432.7891,,1.03829E+11,,0.253639351,,,
1573,133000,152394.6366,,,-131427,,19394.6366,,17273056329,,0.145824335,,,
3488,369900,296055.6016,,,-366412,,73844.3984,,1.34258E+11,,0.19963341,,,
1048,130000,113009.7767,,,-128952,,16990.2233,,16628618304,,0.130694025,,,
1532,137000,149318.8666,,,-135468,,12318.8666,,18351579024,,0.089918734,,,
2797,143000,244217.6241,,,-140203,,101217.6241,,19656881209,,0.707815553,,,
779,79500,92829.72471,,,-78721,,13329.72471,,6196995841,,0.167669493,,,
2072,185900,189829.0081,,,-183828,,3929.0081,,33792733584,,0.021135062,,,
3634,451950,307008.3435,,,-448316,,144941.6565,,2.00987E+11,,0.320702858,,,
1632,138000,156820.7446,,,-136368,,18820.7446,,18596231424,,0.136382207,,,
1533,140000,149393.8853,,,-138467,,9393.8853,,19173110089,,0.067099181,,,
924,110000,103707.4479,,,-109076,,6292.5521,,11897573776,,0.057205019,,,
3248,319000,278051.0942,,,-315752,,40948.9058,,99699325504,,0.128366476,,,
1368,114504,137015.7865,,,-113136,,22511.7865,,12799754496,,0.196602621,,,
1402,194201,139566.4251,,,-192799,,54634.5749,,37171454401,,0.281330039,,,
2930,217500,254195.1219,,,-214570,,36695.1219,,46040284900,,0.168713204,,,
1637,151000,157195.8385,,,-149363,,6195.8385,,22309305769,,0.041032043,,,
2450,275000,218186.1072,,,-272550,,56813.8928,,74283502500,,0.206595974,,,
1375,141000,137540.918,,,-139625,,3459.082,,19495140625,,0.024532496,,,
2704,220000,237240.8775,,,-217296,,17240.8775,,47217551616,,0.078367625,,,
1200,151000,124412.6314,,,-149800,,26587.3686,,22440040000,,0.176075289,,,
2416,221000,215635.4687,,,-218584,,5364.5313,,47778965056,,0.024273897,,,
2440,205000,217435.9194,,,-202560,,12435.9194,,41030553600,,0.060663021,,,
1772,152000,167323.3739,,,-150228,,15323.3739,,22568451984,,0.10081167,,,
2611,225000,230264.1309,,,-222389,,5264.1309,,49456867321,,0.023396137,,,
3622,359100,306108.1182,,,-355478,,52991.8818,,1.26365E+11,,0.147568593,,,
1932,118500,179326.3788,,,-116568,,60826.3788,,13588098624,,0.513302775,,,
3057,313000,263722.5071,,,-309943,,49277.4929,,96064663249,,0.15743608,,,
1637,148000,157195.8385,,,-146363,,9195.8385,,21422127769,,0.062134044,,,
2862,261500,249093.8449,,,-258638,,12406.1551,,66893615044,,0.047442276,,,
1326,147000,133864.9977,,,-145674,,13135.0023,,21220914276,,0.089353757,,,
780,75500,92904.74349,,,-74720,,17404.74349,,5583078400,,0.230526404,,,
1817,137500,170699.219,,,-135683,,33199.219,,18409876489,,0.241448865,,,
1966,183200,181877.0174,,,-181234,,1322.9826,,32845762756,,0.007221521,,,
832,105500,96805.72008,,,-104668,,8694.27992,,10955390224,,0.082410236,,,
1876,314813,175125.3271,,,-312937,,139687.6729,,97929565969,,0.443716342,,,
3133,305000,269423.9344,,,-301867,,35576.0656,,91123685689,,0.116642838,,,
905,67000,102282.0911,,,-66095,,35282.0911,,4368549025,,0.526598375,,,
3570,240000,302207.1416,,,-236430,,62207.1416,,55899144900,,0.259196423,,,
1540,135000,149919.0168,,,-133460,,14919.0168,,17811571600,,0.110511236,,,
1932,168500,179326.3788,,,-166568,,10826.3788,,27744898624,,0.064251506,,,
2037,165150,187203.3508,,,-163113,,22053.3508,,26605850769,,0.133535276,,,
1116,160000,118111.0538,,,-158884,,41888.9462,,25244125456,,0.261805914,,,
1422,139900,141066.8007,,,-138478,,1166.8007,,19176156484,,0.008340248,,,
2194,153000,198981.2994,,,-150806,,45981.2994,,22742449636,,0.300531369,,,
2730,135000,239191.3658,,,-132270,,104191.3658,,17495352900,,0.771787895,,,
1974,168500,182477.1676,,,-166526,,13977.1676,,27730908676,,0.08295055,,,
1750,124000,165672.9607,,,-122250,,41672.9607,,14945062500,,0.336072264,,,
1578,209500,152769.7305,,,-207922,,56730.2695,,43231558084,,0.270788876,,,
2233,82500,201907.0318,,,-80267,,119407.0318,,6442791289,,1.447357961,,,
1536,139400,149618.9417,,,-137864,,10218.9417,,19006482496,,0.073306612,,,
2112,144000,192829.7593,,,-141888,,48829.7593,,20132204544,,0.339095551,,,
3136,200000,269648.9908,,,-196864,,69648.9908,,38755434496,,0.348244954,,,
800,60000,94405.1191,,,-59200,,34405.1191,,3504640000,,0.573418652,,,
1387,93000,138441.1434,,,-91613,,45441.1434,,8392941769,,0.488614445,,,
796,85000,94105.04398,,,-84204,,9105.04398,,7090313616,,0.107118164,,,
2721,264561,238516.1968,,,-261840,,26044.8032,,68560185600,,0.098445361,,,
2736,274000,239641.4785,,,-271264,,34358.5215,,73584157696,,0.125396064,,,
2667,226000,234465.1826,,,-223333,,8465.1826,,49877628889,,0.03745656,,,
4114,345000,343017.3583,,,-340886,,1982.6417,,1.16203E+11,,0.005746788,,,
2113,152000,192904.7781,,,-149887,,40904.7781,,22466112769,,0.269110382,,,
2887,370878,250969.3144,,,-367991,,119908.6856,,1.35417E+11,,0.323310322,,,
1263,143250,129138.8146,,,-141987,,14111.1854,,20160308169,,0.098507402,,,
1048,98300,113009.7767,,,-97252,,14709.7767,,9457951504,,0.149641675,,,
1594,155000,153970.031,,,-153406,,1029.969,,23533400836,,0.006644961,,,
1839,155000,172349.6322,,,-153161,,17349.6322,,23458291921,,0.111933111,,,
761,84500,91479.38665,,,-83739,,6979.38665,,7012220121,,0.082596292,,,
1665,205950,159296.3644,,,-204285,,46653.6356,,41732361225,,0.226528942,,,
1510,108000,147668.4534,,,-106490,,39668.4534,,11340120100,,0.367300494,,,
1716,191000,163122.3222,,,-189284,,27877.6778,,35828432656,,0.145956428,,,
1469,135000,144592.6834,,,-133531,,9592.6834,,17830527961,,0.071056914,,,
3809,350000,320136.6302,,,-346191,,29863.3698,,1.19848E+11,,0.085323914,,,
1092,88000,116310.6031,,,-86908,,28310.6031,,7553000464,,0.321711399,,,
1859,145500,173850.0078,,,-143641,,28350.0078,,20632736881,,0.194845414,,,
1502,149000,147068.3031,,,-147498,,1931.6969,,21755660004,,0.012964409,,,
1458,97500,143767.4768,,,-96042,,46267.4768,,9224065764,,0.474538224,,,
2123,167000,193654.9659,,,-164877,,26654.9659,,27184425129,,0.159610574,,,
1935,197900,179551.4352,,,-195965,,18348.5648,,38402281225,,0.092716346,,,
3809,402000,320136.6302,,,-398191,,81863.3698,,1.58556E+11,,0.203640223,,,
1392,110000,138816.2373,,,-108608,,28816.2373,,11795697664,,0.261965794,,,
2101,137500,192004.5528,,,-135399,,54504.5528,,18332889201,,0.396396748,,,
3818,423000,320811.7992,,,-419182,,102188.2008,,1.75714E+11,,0.241579671,,,
1936,230500,179626.4539,,,-228564,,50873.5461,,52241502096,,0.220709528,,,
2567,129000,226963.3046,,,-126433,,97963.3046,,15985303489,,0.759405462,,,
2817,193500,245717.9997,,,-190683,,52217.9997,,36360006489,,0.269860464,,,
2425,168000,216310.6377,,,-165575,,48310.6377,,27415080625,,0.28756332,,,
1180,137500,122912.2558,,,-136320,,14587.7442,,18583142400,,0.106092685,,,
1669,173500,159596.4395,,,-171831,,13903.5605,,29525892561,,0.080135795,,,
